GEL;JURUSAN;RATA_UN;gaji;BIAYA
3;541;6.54;1;1
3;541;6.1;5;2
5;541;8.16;2;2
1;541;6.54;2;2
3;541;6.22;1;2
1;541;6.54;3;1
3;311;6.43;1;2
1;541;6.54;2;1
2;311;3.55;1;2
3;541;5.66;2;2
3;561;6.88;2;2
2;541;6.54;2;1
2;541;6.54;1;2
2;541;7.5;1;2
3;561;5.13;2;2
5;541;6.54;2;2
1;541;6.54;2;1
3;541;4.69;2;2
3;331;7.25;1;2
5;541;6.54;1;2
3;561;7.63;1;2
3;541;4.29;1;2
3;541;6.54;3;2
3;541;6.54;2;2
3;561;6.54;1;1
1;311;8.2;1;1
5;311;7.5;2;1
5;541;6.54;1;1
2;561;6.68;1;1
3;561;6.54;1;1
3;561;5.47;1;2
1;541;6.54;2;2
3;561;6.54;2;2
2;541;6.54;2;2
2;331;6.54;2;1
3;561;6.54;1;2
1;561;6.54;2;2
1;561;6.54;1;2
3;321;6.54;1;3
1;561;6.54;1;2
5;541;7.93;2;2
5;311;6.54;2;2
1;541;6.54;1;2
2;541;6.54;1;1
1;541;6.54;1;2
2;541;6.54;1;2
1;311;6.54;2;1
2;561;4.19;1;2
5;541;7.15;2;2
1;541;6.54;1;1
3;541;6.38;2;2
1;541;6.54;1;2
1;561;5.58;1;1
3;311;6.54;2;2
3;561;6.54;2;2
3;561;3.4;2;2
1;541;6.54;2;1
1;331;6.76;2;2
1;561;6.54;1;2
5;541;6.54;2;3
3;331;9.05;1;4
3;541;7.45;1;2
3;331;8.13;3;2
2;311;6.54;2;2
1;331;7.81;1;2
1;311;7.95;1;2
1;561;6.54;1;1
3;541;6.54;4;2
2;561;6.54;2;1
1;541;6.54;1;2
5;561;8.31;1;2
3;561;7.48;2;2
3;321;6.54;2;1
3;541;6.54;2;1
5;541;4.55;1;2
1;541;6.54;2;1
3;541;6.54;2;2
5;541;6.54;1;1
3;561;6.54;2;1
3;541;6.54;1;2
1;541;7.35;3;2
1;541;6.54;3;2
1;561;7;1;2
2;541;8.15;1;3
3;541;5;2;3
5;541;3.66;1;1
2;541;6.09;2;2
5;541;8.26;1;2
3;561;8.34;1;2
3;541;7.23;2;2
5;541;7.68;3;1
5;541;7;1;2
3;561;6.54;2;2
1;311;6.54;1;1
3;541;6.54;2;1
4;311;5.27;1;1
2;541;7.23;1;2
3;311;7.23;1;2
3;541;6.54;1;2
2;541;7.34;1;2
3;541;7.8;1;2
3;541;5.78;1;2
1;321;6.54;1;2
3;541;7.46;1;2
1;541;3.12;1;2
3;561;8;1;2
3;541;6.54;2;2
3;311;6.54;1;1
3;561;6.77;5;2
2;541;3.68;1;2
1;561;6.68;1;1
5;311;6.54;1;1
5;541;6.54;3;2
3;561;4.98;1;2
2;541;6.54;2;2
1;561;6.54;1;1
2;561;7.82;1;2
1;541;5.64;3;2
3;311;8;1;2
3;561;6.54;2;1
1;541;6.54;1;1
3;541;7.86;1;2
1;311;6.54;1;2
3;541;7.74;5;2
3;331;6.54;1;1
3;541;5.28;1;3
3;541;6.54;1;2
1;561;6.54;2;2
1;541;6.54;1;2
5;541;6.54;1;2
1;541;7.75;1;2
1;561;6.54;1;2
1;541;6.54;1;2
3;541;6.54;1;1
2;541;7.08;2;2
5;561;6.54;1;2
2;541;5.49;2;2
3;561;4.78;2;2
3;561;7.45;1;2
1;561;6.54;5;1
5;541;7.3;2;2
1;311;6.54;1;2
3;561;6.84;2;2
1;331;6.69;1;2
2;561;7.38;1;2
1;541;6.54;1;2
1;561;6.54;1;2
1;541;6.54;1;2
3;541;4.97;1;2
3;541;7;1;2
1;541;7.08;2;1
3;541;7.18;2;2
3;561;5.05;2;2
1;541;7.83;3;2
2;311;7.98;2;2
2;561;3.08;1;1
3;541;6.54;1;2
1;541;6.54;1;2
2;541;6.54;1;1
1;541;6.54;3;2
2;561;7.65;1;2
1;541;6.54;2;3
3;541;7.18;2;2
5;311;6.54;1;1
5;321;6.07;1;2
1;561;7.61;1;3
3;541;6.9;2;2
5;541;7.67;1;2
3;561;7.39;2;2
1;541;6.54;4;2
2;541;6.54;2;1
2;541;5.66;1;2
2;541;6.54;2;2
2;541;6.54;1;1
2;321;7.98;1;2
3;561;6.68;2;2
2;541;6.54;1;1
3;311;6.6;1;1
5;541;8.2;1;2
1;541;6.54;1;1
5;561;6.54;3;2
2;561;6.54;1;2
2;561;6.38;2;2
3;561;6.54;2;2
2;331;7.22;2;2
3;541;3.08;1;1
5;541;6.54;1;2
1;561;7.38;1;2
1;561;8.44;1;2
3;541;8.2;2;2
1;311;5.16;1;1
2;561;3.04;3;2
1;561;8.35;1;2
1;311;7.27;1;2
2;541;2.76;1;1
2;541;7.2;1;2
3;541;6.54;2;1
3;541;6.54;2;1
5;561;3.08;2;2
2;541;6.54;2;1
3;541;6.09;2;1
5;541;6.54;3;2
1;541;6.7;1;2
2;561;5.28;1;1
2;541;6.54;2;2
1;541;6.54;1;3
1;541;6.54;1;2
1;541;6.54;1;2
1;541;6.54;2;2
1;541;7.93;2;2
1;541;8.44;2;2
3;321;8.19;1;2
2;541;6.54;1;3
5;541;8.32;2;2
1;561;7.25;1;2
2;541;6.54;2;2
1;541;6.54;2;1
3;561;5.54;1;2
1;541;7.42;1;2
2;541;4.77;1;2
2;541;7.65;3;2
1;561;6.54;1;1
5;561;6.54;1;2
1;311;6.98;1;2
2;541;6.54;2;1
5;541;6.54;3;2
1;561;7.88;1;2
1;561;3.67;3;1
1;561;7.13;1;2
2;541;6.54;2;1
1;541;6.54;1;2
2;541;7.48;2;2
5;311;8.05;1;2
3;561;6.54;5;1
5;321;6.54;1;2
3;541;7.52;2;1
2;321;5.51;1;2
1;541;6.54;2;2
5;541;6.54;2;2
5;561;6.54;1;2
3;311;5.85;2;2
1;541;3.6;2;2
2;541;6.54;2;2
5;541;6.54;1;2
1;541;6.54;2;1
2;541;6.54;3;2
1;311;6.79;1;2
1;561;6.54;1;2
3;561;6.54;2;1
1;561;6.54;2;2
2;541;3.79;3;2
3;541;7.68;1;2
2;561;6.54;1;2
5;541;6.54;4;1
2;561;6.54;1;2
3;561;8.2;1;2
1;541;6.54;1;2
3;541;5.31;1;2
3;561;7.45;1;2
